x,y,distance,angle
610.0,984.0,10.63,-16.347926267281103
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
1436.0,1035.5,9.88,35.99078341013825
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
1388.5,1027.0,10.34,32.980990783410135
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
236.0,988.0,12.42,-40.046082949308754
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
0.0,0.0,0,-55.0
